"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1463954";"";"None";"408.59";"0";"4.52";"SID14731013";"CCCCN(CCCC)S(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1";"IC50";"'='";"1048.87";"nM";"5.98";"";"Not Active";"UO_0000065";"14.63";"0.30";"1.46";"8.99";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"1.048866017"
"CHEMBL1324399";"";"None";"364.83";"0";"1.42";"SID4247900";"Cc1cc(C)c2cc3c(ccn3C3OC[C@H](O)[C@H](O)[C@H]3O)cc2n1.Cl";"IC50";"'<'";"23.0";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"0.023"
"CHEMBL1522300";"";"None";"445.48";"0";"3.05";"SID7965002";"COc1ccc(N2Cc3cccc(C(=O)N4CCN(C(=O)c5ccco5)CC4)c3C2=O)cc1";"IC50";"'>'";"50000.0";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"50.0"
"CHEMBL1573389";"";"None";"287.34";"0";"3.19";"SID14720445";"O=C(Nc1sc2c(c1C(=O)O)CCC2)c1ccccc1";"IC50";"'>'";"109200.5";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"109.2005"
"CHEMBL1307923";"";"None";"334.42";"0";"2.67";"SID3717710";"CN1CCN(C(c2cccnc2)c2ccc3cccnc3c2O)CC1";"IC50";"'='";"32561.82";"nM";"4.49";"";"Not Active";"UO_0000065";"13.42";"0.25";"1.82";"8.55";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"32.56182438"
"CHEMBL1612328";"";"None";"324.43";"0";"2.39";"SID4256569";"O=S(=O)(Nc1ccc(N2CCOCC2)cc1)c1cccs1";"IC50";"'>'";"50000.0";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"50.0"
"CHEMBL1965461";"";"None";"413.52";"0";"4.39";"SID851635";"CCN1C(=O)/C(=C2/Sc3ccc(OC)cc3N2C)S/C1=N\c1cccc(O)c1";"IC50";"'='";"60.39";"nM";"7.22";"";"Not Active";"UO_0000065";"17.46";"0.35";"2.83";"11.04";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"0.060385161"
"CHEMBL2111532";"";"None";"463.60";"1";"5.93";"4 [(+/-)-cis]";"Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1";"IC50";"'='";"143.0";"nM";"6.84";"";"";"UO_0000065";"14.76";"0.28";"0.91";"11.01";"0";"CHEMBL676380";"Binding affinity towards human recombinant Estrogen receptor beta was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149328";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"143.0"
"CHEMBL337202";"";"None";"434.96";"1";"5.53";"27";"COc1c(C=O)c(C)c(Cl)c(O)c1C/C=C(\C)CC/C=C(\C)[C@@H]1CC(=O)C(C)(C)O1";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL678132";"Minimum effective concentration required to inhibit Estrogen receptor 2 (ER beta); Not detected";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145088";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";""
"CHEMBL101807";"";"None";"442.60";"1";"5.58";"20a";"CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1";"IC50";"'='";"83.0";"nM";"7.08";"";"";"UO_0000065";"16.00";"0.29";"1.50";"19.70";"0";"CHEMBL678130";"Inhibitory concentration against estrogen receptor 2 using estrogen response element (ERE) assay.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145829";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"83.0"
"CHEMBL463804";"TUPICHINOL C";"None";"242.27";"0";"3.16";"2";"Oc1ccc([C@H]2CCc3ccc(O)cc3O2)cc1";"IC50";"'='";"14700.0";"nM";"4.83";"";"";"UO_0000065";"19.95";"0.37";"1.67";"9.73";"0";"CHEMBL1120284";"Displacement of [3H]17-beta-estradiol from human recombinant full length ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158617";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"14.7"
"CHEMBL91807";"";"None";"463.60";"1";"5.93";"21";"Oc1cccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)c1";"IC50";"'='";"245.0";"nM";"6.61";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL673659";"Potency in cellular transactivation assay utilizing HEK293 cells stably co-transfected with human estrogen receptor beta and the alkaline phosphatase reporter gene";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146754";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307715";"";"";"";"245.0"
"CHEMBL337716";"";"None";"477.00";"1";"5.75";"28";"COc1c(C=O)c(C)c(Cl)c(OC(C)=O)c1C/C=C(\C)CC/C=C(\C)[C@@H]1CC(=O)C(C)(C)O1";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL678132";"Minimum effective concentration required to inhibit Estrogen receptor 2 (ER beta); Not detected";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145088";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";""
"CHEMBL329849";"";"None";"477.63";"1";"6.24";"9";"Cc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2";"IC50";"'='";"68.3";"nM";"7.17";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL673659";"Potency in cellular transactivation assay utilizing HEK293 cells stably co-transfected with human estrogen receptor beta and the alkaline phosphatase reporter gene";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146754";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307715";"";"";"";"68.3"
"CHEMBL74757";"";"None";"255.27";"0";"3.00";"4b";"CC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1";"IC50";"'='";"330.0";"nM";"6.48";"";"";"UO_0000065";"25.39";"0.47";"3.48";"10.45";"0";"CHEMBL682169";"Binding affinity towards estrogen receptor beta by [3H]17-beta-estradiol displacement.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148236";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"330.0"
"CHEMBL81";"RALOXIFENE";"4.0";"473.59";"1";"6.08";"1 (Raloxifene)";"O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12";"IC50";"'='";"470.0";"nM";"6.33";"";"";"UO_0000065";"13.36";"0.25";"0.25";"9.04";"0";"CHEMBL677047";"In vitro binding affinity for estrogen receptor beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136523";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"470.0"
"CHEMBL1512";"FLUNISOLIDE";"4.0";"434.50";"0";"2.27";"FLUNISOLIDE";"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909146";"DRUGMATRIX: Estrogen ERbeta radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";"";"";"Not Active";""
