"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL210143";"";"None";"312.45";"1";"5.43";"22";"CCCCC1=C2c3ccc(O)cc3CC2(CCCC)CCC1=O";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL852971";"Activity at human ERbeta transfected in HEK293 cells assessed as transactivation of alkaline phosphatase reporter gene";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138102";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"CHEMBL3307715";"";"";"";"40.0"
"CHEMBL183344";"";"None";"463.60";"1";"5.93";"7";"C[C@H]1CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1";"IC50";"'='";"48.0";"nM";"7.32";"";"";"UO_0000065";"15.79";"0.30";"1.39";"11.77";"0";"CHEMBL831972";"Inhibition of binding to recombinant human estrogen receptor beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144457";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"48.0"
"CHEMBL183399";"";"None";"477.63";"1";"6.17";"8";"C[C@@H]1CCN([C@H](C)COc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"14.75";"0.28";"0.88";"11.33";"0";"CHEMBL833494";"Inhibition of human estrogen receptor 2 using tritiated estradiol incubated for 20 hr";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142800";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"90.0"
"CHEMBL364110";"";"None";"299.33";"0";"4.08";"80";"CCCCOc1cc(-c2nc3ccc(O)cc3o2)ccc1O";"IC50";"'='";"3660.0";"nM";"5.44";"";"";"UO_0000065";"18.16";"0.34";"1.36";"7.18";"0";"CHEMBL829091";"Inhibitory concentration against human ER beta expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138773";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"3660.0"
"CHEMBL185383";"";"None";"513.64";"1";"4.17";"3";"O=S1(=O)CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1";"IC50";"'='";"247.0";"nM";"6.61";"";"";"UO_0000065";"12.86";"0.26";"2.44";"6.86";"0";"CHEMBL877124";"Binding potency for human ER beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137199";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"247.0"
"CHEMBL184367";"";"None";"489.64";"1";"6.46";"2";"Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3C4CCCC3CC4)cc2)cc1";"IC50";"'='";"51.0";"nM";"7.29";"";"";"UO_0000065";"14.89";"0.28";"0.83";"11.73";"0";"CHEMBL831070";"Binding potency for human ER beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137846";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"51.0"
"CHEMBL203340";"";"None";"311.12";"0";"3.97";"46";"Cc1c(O)c(Cl)cc2c1c(=O)oc1c(Cl)c(O)ccc12";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"24.82";"0.53";"3.75";"10.93";"0";"CHEMBL865583";"Binding affinity to ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"19.0"
"CHEMBL383518";"";"None";"270.28";"0";"3.23";"41";"CCc1cc(O)cc2c(=O)oc3c(C)c(O)ccc3c12";"IC50";"'='";"91.0";"nM";"7.04";"";"";"UO_0000065";"26.05";"0.48";"3.81";"9.96";"0";"CHEMBL865583";"Binding affinity to ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"91.0"
"CHEMBL206120";"";"None";"256.26";"0";"2.97";"33";"Cc1c(O)ccc2c1c(=O)oc1cc(O)cc(C)c12";"IC50";"'='";"67.0";"nM";"7.17";"";"";"UO_0000065";"27.99";"0.52";"4.20";"10.15";"0";"CHEMBL865583";"Binding affinity to ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"67.0"
"CHEMBL206218";"";"None";"333.18";"0";"4.34";"26";"Cc1cc2c(=O)oc3c(C)c(O)ccc3c2c(C)c1Br";"IC50";"'='";"57.0";"nM";"7.24";"";"";"UO_0000065";"21.74";"0.49";"2.90";"14.36";"0";"CHEMBL865583";"Binding affinity to ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"57.0"
"CHEMBL189287";"";"None";"243.22";"0";"2.61";"85";"Oc1ccc(-c2nc3cc(O)ccc3o2)c(O)c1";"IC50";"'='";"25.0";"nM";"7.60";"";"";"UO_0000065";"31.26";"0.58";"4.99";"8.77";"0";"CHEMBL829091";"Inhibitory concentration against human ER beta expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138773";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"25.0"
"CHEMBL44";"GENISTEIN";"2.0";"270.24";"0";"2.58";"genistein";"O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12";"IC50";"'='";"61.0";"nM";"7.21";"";"";"UO_0000065";"26.70";"0.49";"4.63";"7.94";"0";"CHEMBL860987";"Displacement of [3H]estrone from ER beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146098";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"61.0"
"CHEMBL2403361";"";"None";"284.40";"0";"4.98";"11";"CCCC(CCC)(c1ccc(O)cc1)c1ccc(O)cc1";"IC50";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"19.89";"0.37";"0.68";"13.98";"0";"CHEMBL2406170";"Antagonist activity at human Gal4-ERbeta assessed as inhibition of 17beta-estradiol-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2401681";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"2200.0"
"CHEMBL2403359";"";"None";"296.41";"0";"4.96";"21";"Cc1cc(C2(c3ccc(O)c(C)c3)CCCCC2)ccc1O";"IC50";"'='";"790.0";"nM";"6.10";"";"";"UO_0000065";"20.59";"0.38";"1.14";"15.08";"0";"CHEMBL2406170";"Antagonist activity at human Gal4-ERbeta assessed as inhibition of 17beta-estradiol-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2401681";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"790.0"
"CHEMBL195039";"";"None";"358.17";"0";"4.69";"63";"N#Cc1cc(O)c(Br)c2ccc(-c3ccc(O)c(F)c3)cc12";"IC50";"'='";"4.5";"nM";"8.35";"";"";"UO_0000065";"23.30";"0.52";"3.66";"12.99";"0";"CHEMBL831137";"Inhibition of [3H]17-beta-estradiol binding to human estrogen receptor beta expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139538";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"4.5"
"CHEMBL192154";"";"None";"279.27";"0";"3.93";"47";"N#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12";"IC50";"'='";"2.7";"nM";"8.57";"";"";"UO_0000065";"30.68";"0.56";"4.64";"13.34";"0";"CHEMBL831137";"Inhibition of [3H]17-beta-estradiol binding to human estrogen receptor beta expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139538";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"2.7"
"CHEMBL131450";"";"None";"477.00";"1";"5.62";"9";"COc1c(C=O)c(C)c(Cl)c(OCC(=O)O)c1C/C=C(C)/C=C/[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL678132";"Minimum effective concentration required to inhibit Estrogen receptor 2 (ER beta); Not detected";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145088";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";""
"CHEMBL336722";"";"None";"434.96";"1";"5.53";"21";"COc1c(Cl)c(C)c(C=O)c(O)c1C/C=C(\C)CC/C=C(\C)[C@@H]1CC(=O)C(C)(C)O1";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL678132";"Minimum effective concentration required to inhibit Estrogen receptor 2 (ER beta); Not detected";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145088";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";""
"CHEMBL133351";"";"None";"526.03";"2";"6.13";"25";"C/C(=C\Cc1c(O)c(C=O)c(C)c(Cl)c1OC(=O)c1cccnc1)CC/C=C(\C)[C@@H]1CC(=O)C(C)(C)O1";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL678132";"Minimum effective concentration required to inhibit Estrogen receptor 2 (ER beta); Not detected";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145088";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";""
"CHEMBL81";"RALOXIFENE";"4.0";"473.59";"1";"6.08";"Ralox";"O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"16.73";"0.32";"1.84";"11.32";"1";"CHEMBL676380";"Binding affinity towards human recombinant Estrogen receptor beta was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149328";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"12.0"
"CHEMBL93705";"";"None";"463.60";"1";"5.93";"21D";"Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1";"IC50";"'='";"157.4";"nM";"6.80";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL673659";"Potency in cellular transactivation assay utilizing HEK293 cells stably co-transfected with human estrogen receptor beta and the alkaline phosphatase reporter gene";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146754";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307715";"";"";"";"157.4"
"CHEMBL132134";"";"None";"448.99";"1";"6.05";"6";"COc1c(Cl)c(C)c(C(=O)O)c(OC)c1C/C=C(C)/C=C/[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL678132";"Minimum effective concentration required to inhibit Estrogen receptor 2 (ER beta); Not detected";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145088";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";""
"CHEMBL94080";"";"None";"410.51";"0";"3.97";"11e";"CCOC(=O)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1";"IC50";"'='";"293.0";"nM";"6.53";"";"";"UO_0000065";"15.91";"0.30";"2.56";"10.50";"0";"CHEMBL677050";"In vitro concentration required to inhibit [3H]estradiol binding to human estrogen receptor beta expressed in 293T cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"293T";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146753";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"293.0"
"CHEMBL328716";"";"None";"481.59";"1";"6.07";"12";"Oc1ccc([C@@H]2Sc3c(ccc(O)c3F)O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1";"IC50";"'='";"13.2";"nM";"7.88";"";"";"UO_0000065";"16.36";"0.32";"1.81";"12.68";"0";"CHEMBL682167";"Displacement of [3H]17-beta-estradiol from full length human estrogen receptor beta";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146754";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"13.2"
"CHEMBL1082723";"CIPARGAMIN";"2.0";"390.24";"0";"4.34";"NITD609";"C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1247886";"Binding affinity to human recombinant ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240532";"1";"Scientific Literature";"Science";"2010";"None";"";"";"";"30.0"
"CHEMBL195118";"";"None";"457.62";"1";"5.03";"47";"CC(C)CN1CCN(c2ccc(C3c4ccc(O)cc4CCN3c3cccc(O)c3)cc2)CC1";"IC50";"'='";"1945.0";"nM";"5.71";"";"";"UO_0000065";"12.48";"0.23";"0.68";"11.38";"0";"CHEMBL831372";"Inhibition of [3H]estradiol binding to human estrogen receptor beta expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141171";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308376";"";"";"";"1945.0"
"CHEMBL191714";"";"None";"220.27";"0";"4.21";"10";"Oc1ccc2cc(-c3ccccc3)ccc2c1";"IC50";"'='";"374.0";"nM";"6.43";"";"";"UO_0000065";"29.18";"0.52";"2.22";"31.77";"0";"CHEMBL831137";"Inhibition of [3H]17-beta-estradiol binding to human estrogen receptor beta expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139538";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"374.0"
"CHEMBL15511";"ENROFLOXACIN";"2.0";"359.40";"0";"2.32";"ENROFLOXACIN";"CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909146";"DRUGMATRIX: Estrogen ERbeta radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";"";"";"Not Active";""
"CHEMBL407";"FLUMAZENIL";"4.0";"303.29";"0";"1.77";"FLUMAZENIL";"CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909146";"DRUGMATRIX: Estrogen ERbeta radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";"";"";"Not Active";""
"CHEMBL488";"AMINOGLUTETHIMIDE";"4.0";"232.28";"0";"1.35";"AMINOGLUTETHIMIDE";"CCC1(c2ccc(N)cc2)CCC(=O)NC1=O";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909146";"DRUGMATRIX: Estrogen ERbeta radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";"";"";"Not Active";""
"CHEMBL204317";"";"None";"381.35";"0";"4.56";"9";"C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C/Br)C1CC[C@@H]2O";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"17.51";"0.40";"2.12";"16.50";"0";"CHEMBL859108";"Binding affinity to human ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149417";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"210.0"
"CHEMBL114";"SAQUINAVIR";"4.0";"670.86";"1";"3.09";"SAQUINAVIR";"CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909146";"DRUGMATRIX: Estrogen ERbeta radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";"";"";"Not Active";""
"CHEMBL188189";"";"None";"245.21";"0";"3.05";"42";"Oc1ccc2c(-c3ccc(O)c(F)c3)noc2c1";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"33.02";"0.61";"5.05";"12.18";"0";"CHEMBL829091";"Inhibitory concentration against human ER beta expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138773";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"8.0"
"CHEMBL1584730";"";"None";"348.36";"0";"1.91";"SID14744898";"NC1=C(c2nc3ccccc3[nH]2)C(=O)CN1c1ccc(CC(=O)O)cc1";"IC50";"'='";"25929.39";"nM";"4.59";"";"Active";"UO_0000065";"13.17";"0.24";"2.68";"4.08";"0";"CHEMBL1614359";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"25.92939"
"CHEMBL865";"VALDECOXIB";"4.0";"314.37";"0";"2.96";"VALDECOXIB";"Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909146";"DRUGMATRIX: Estrogen ERbeta radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";"";"";"Not Active";""
"CHEMBL1412483";"";"None";"431.48";"0";"3.79";"SID4265233";"O=C(CSc1nnc(-c2cccnc2)n1-c1ccccc1)Nc1ccc2c(c1)OCO2";"IC50";"'>'";"50000.0";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614359";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"50.0"
"CHEMBL1381098";"1-NAPHTHYLISOTHIOCYANATE";"None";"185.25";"0";"3.57";"1-NAPHTHYL ISOTHIOCYANATE";"S=C=Nc1cccc2ccccc12";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909146";"DRUGMATRIX: Estrogen ERbeta radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";"";"";"Not Active";""
"CHEMBL153062";"4-NONYLPHENOL";"None";"220.36";"0";"4.69";"4-NONYLPHENOL";"CCCCCCCCCc1ccc(O)cc1";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909146";"DRUGMATRIX: Estrogen ERbeta radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";"";"";"Not Active";""
"CHEMBL28626";"MORIN";"None";"302.24";"0";"1.99";"SID855692";"O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12";"IC50";"'='";"2927.18";"nM";"5.53";"";"Not Active";"UO_0000065";"18.31";"0.34";"3.54";"4.21";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"2.927175455"
"CHEMBL1601001";"";"None";"366.49";"0";"2.87";"SID48410377";"N#Cc1c(NC(=O)CN2CCN(c3ccccc3)CC2)sc2c1CCC2";"IC50";"'='";"44488.59";"nM";"4.35";"";"Not Active";"UO_0000065";"11.87";"0.23";"1.48";"7.33";"0";"CHEMBL1614377";"PUBCHEM_BIOASSAY: Estrogen Receptor-beta Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 633 (Primary screen preceding this ELISA dose response confirmation assay.), 733 (Primary dose response assay preceding this ELISA dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"44.48858992"
