Name,Smiles,Active_Probability,Predicted_Class,InDomain
0.9852485,COc1cc(-c2cc(=O)c3c(O)cc(O)c(C/C=C(\C)CCC=C(C)C)c3o2)ccc1O,0.7119,Active,In-Domain
0.01123997,Cc1c(CCC(=O)Nc2cccc(-c3ccc(CO)o3)c2)c(=O)oc2cc(O)ccc12,0.6987,Active,In-Domain
0.9347697,COc1c(O)c(CC=C(C)C)cc2c1Oc1cc(O)c(CC=C(C)C)c(O)c1C(=O)O2,0.697,Active,In-Domain
0.9804452,C[C@@H](O)c1[nH]c2ccc(NC(=O)c3cn([C@H]4CC[C@H]([NH3+])CC4)nn3)cc2[nH+]1,0.6898,Active,Out-of-Domain
0.44771382,COc1cc(-c2nc(-c3ccc(O)cc3OC)[nH]c2-c2oc(C)cc(=O)c2[O-])ccc1O,0.6893,Active,In-Domain
0.06731875,O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)cc1,0.6782,Active,In-Domain
0.66153955,Cc1c2cc(O)c(O)cc2c(C)c2cc(O)c(O)cc12,0.6748,Active,In-Domain
0.9771144,COc1cc(-c2[nH]c(-c3ccc(O)cc3O)nc2-c2oc(C)cc(=O)c2O)ccc1O,0.6711,Active,In-Domain
0.95330346,O=C1C[C@H](c2ccc(O)cc2)Oc2c(/C=C/c3ccccc3)c(O)cc(O)c21,0.6613,Active,In-Domain
0.7673579,C[C@H](O)c1[nH]c2ccc(NC(=O)c3cn([C@H]4CC[C@H]([NH3+])CC4)nn3)cc2[nH+]1,0.6572,Active,Out-of-Domain
0.9957158,CC(C)=CCC/C(C)=C/Cc1c(-c2ccc(O)cc2O)oc2cc([O-])cc(O)c2c1=O,0.6498,Active,In-Domain
0.85134655,C[C@@H](O)c1nc2ccc(NC(=O)c3cn([C@H]4CC[C@H]([NH3+])CC4)nn3)cc2[nH]1,0.6394,Active,Out-of-Domain
0.67969716,COc1cc(-c2[nH]c(-c3ccc(O)c(O)c3)nc2-c2oc(C)cc(=O)c2O)ccc1O,0.6393,Active,In-Domain
0.6107781,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(O)c1O,0.6389,Active,In-Domain
0.9944733,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CC[NH+](Cc4cccs4)CC3)c(O)cc(O)c12,0.6327,Active,In-Domain
0.138836,CC(C)=CCC[C@]1(C)C=Cc2c(cc(O)c3c2O[C@@H](c2ccc(O)cc2O)CC3=O)O1,0.627,Active,In-Domain
0.981126,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)c(O)c1O,0.6252,Active,In-Domain
0.6401851,COc1cc([C@H]2Oc3cc(O)c4c(=O)c(O)c(-c5ccc(O)cc5)oc4c3O[C@@H]2CO)ccc1O,0.625,Active,In-Domain
0.82440996,Cc1cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(O)cc3O)cc2O)cc(O)c1C(=O)[O-],0.6246,Active,In-Domain
0.98487985,O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)c(O)c1[O-],0.6238,Active,In-Domain
0.09026347,O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)c(O)c1O,0.6233,Active,In-Domain
0.9790267,COc1c(O)c(CC=C(C)C)cc2c1Oc1cc(O)c(CC=C(C)C)c([O-])c1C(=O)O2,0.6221,Active,In-Domain
0.67813396,O=C1C[C@H](c2ccc3ncccc3c2)c2c(cc([O-])c3c(=O)cc(-c4ccc(O)c(O)c4)oc23)O1,0.6217,Active,Out-of-Domain
