Name,SMILES,MW,LogP,HBD,HBA,RotB,TPSA
NPA000078,CC1=C2CC[C@@]3(C)C/C=C(\C)CC(=O)C[C@@H](C)C[C@@H](OC1=O)[C@]23O,332.44000000000005,3.4850000000000025,1,4,0,63.60000000000001
NPA000081,CC1OC(=O)C[C@H](C)OC(=O)/C=C/[C@@H](O)[C@H](C)OC(=O)/C=C/C1O,342.34400000000005,0.01939999999999975,2,8,0,119.36000000000003
NPA000082,CC(=O)N1CC[C@]23c4ccccc4N[C@H]4N(C)c5cccc6c5[C@]42CCN([C@H]6C=C(C)C)[C@H]13,440.5910000000002,4.368700000000003,1,4,1,38.82
NPA000085,CC(=O)C=CC1=C(C=CCO)C(=O)OC1,208.21299999999997,0.5334999999999999,1,4,4,63.60000000000001
NPA000088,Cc1c2c(cc3c1C[C@@H](O)CC3)[C@]13CC[C@H]([C@H](C)[C@]4(OC(C)(C)[C@@H](C)[C@H]4O)O1)[C@@]3(C)C=C2,438.6080000000002,4.651420000000005,2,4,0,58.92
NPA000091,CC(C)=CCC[C@@](C)(O)[C@@H]1CC[C@@](C)(O)[C@H]1C,240.38699999999997,3.280900000000002,2,2,4,40.46
NPA000092,C/C=C/CC/C=C/c1c(O)cc(CC=C(C)C)c(O)c1C=O,300.398,4.7885000000000035,2,3,7,57.53
NPA000093,C=C1C(=O)[C@]2(OC)C(=O)O[C@@]34C[C@H](C)C(C(=O)O)=C[C@@H]3CCC[C@@H](C)[C@H](O)[C@@H](C)[C@H]1O[C@H]24,448.51200000000017,2.0439,2,7,2,119.36
NPA000094,CC1=C(C(=O)O)[C@H](C)OC1=O,156.13699999999997,0.33279999999999993,1,3,1,63.60000000000001
NPA000095,CS[C@@]12C[C@H]3[C@@H]([C@@H](O)C=C[C@@H]3O)N1C(=O)[C@]1(SC)C[C@H]3[C@@H]([C@@H](O)C=C[C@@H]3O)N1C2=O,454.5700000000001,-0.8639999999999992,4,8,2,121.54000000000002
NPA000097,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)C(OC)OC(C)=C1,302.282,1.9829000000000003,1,6,2,82.06
NPA000098,CC(=O)CCCC[C@H](O)[C@@H]1CCC2=C(CC[C@H](O)C2=O)O1,296.36299999999994,1.6536,2,5,6,83.83000000000001
NPA000099,COc1cc(C2=CC(=O)[C@@](C)(c3ccc(O)c(OC)c3)C2=O)ccc1O,354.3580000000001,2.6081000000000003,2,6,4,93.06000000000002
NPA000100,C=C1C(=O)C[C@@H](O)[C@@H](C)C(=O)[C@@H](O)[C@H]2[C@@H]1CC2(C)C,266.337,1.1046999999999998,2,4,0,74.60000000000001
NPA000101,CC(CO)C1=C2[C@H]3C[C@H]4OC(O)(C=C4CO)[C@]3(C)CC[C@@]2(C)C=C1,332.44000000000005,2.3136000000000005,3,4,3,69.92
NPA000102,Cc1cc(O)c2c(c1O)C(=O)C(O)=C(O)C2=O,236.17899999999997,1.11282,4,6,0,115.06
NPA000103,CCCCCCCC(=O)O[C@@H]1[C@@H]2[C@H](CC1(C)C)[C@H](O)C1=C(Cl)C(=O)[C@@](O)(CO)[C@]12C,442.9800000000002,3.1008000000000027,3,6,8,104.06000000000002
NPA000104,CCCCC/C=C(\C)C(=O)O[C@@]1(C)C(=O)C=C2C=C(C3=C(C)CC(O)CC3=O)OC=C2C1=O,454.5190000000003,3.7314000000000025,1,7,7,106.97000000000001
NPA000106,C/C1=C\CC/C(C(=O)O)=C/Cc2cc(ccc2O)OC(C)(C)[C@@H](O)CC1,360.4500000000001,3.9843000000000024,3,4,1,86.99
NPA000107,C=C[C@@]1(C)CC=C2[C@@H](CC[C@@H]3C(C)(C)[C@H](OC(=O)C(N)=O)CC[C@@]23C)C1,359.5100000000001,4.148500000000003,1,3,2,69.39
NPA000112,Cc1cnc(-c2cc(O)ccc2O)c2c1[C@@H](O)CC2,257.289,2.447820000000001,3,4,1,73.58000000000001
NPA000121,COc1c(Cl)cc2c(c1OC)N(C)C1N3C(=O)C4(C)SSC3(CC21O)C(=O)N4C,457.9610000000002,1.8325,1,8,2,82.55000000000001
NPA000122,C=CCCc1ccc(C(=O)O)nc1,177.20299999999997,1.8984,1,2,4,50.19
